total_calls,mean_tow_miles,credit_ranges_below_700,credit_ranges_between_700___799,education_some_college,generation_millenials__1981___1993_,income_100k_,income_under_39999,aaa_financial_service_0,no_members_3___member,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,kcl_b_ind_mosaicsgrouping_power_elite,occupation_group_professional,mosaic_global_household_hard_working_blue_collar,mosaic_global_household_low_income_elders,aaa_motorcycle_indicator_0_0,aaa_deposit,membership_id,yes_deposit
1.0,0.333333,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,4123,0.0
15.0,9.333333,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,4127,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4158,0.22716627634660444
0.0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4208,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4209,0.8464912280701768
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4224,0.22716627634660444
0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,4228,0.0
22.0,4.3333330000000005,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4230,0.0
2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4263,0.0
1.0,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,4264,0.0
0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4269,0.0
12.0,0.5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4296,0.0
7.0,1.333333,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,4300,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4307,0.22716627634660444
0.0,0.0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,4311,0.0
24.0,3.6133330000000004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4322,0.0
0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4339,0.0
0.0,2.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4350,0.0
0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,4366,0.0
0.0,0.0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,4367,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4386,0.22716627634660444
1.0,0.333333,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,4433,0.0
9.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4452,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4456,0.22716627634660444
30.0,0.833333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4466,0.0
0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4482,0.0
0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,4489,1.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4494,0.8464912280701768
9.0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4504,0.0
12.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4507,0.0
