mean_total_cost,length_of_residence,total_members_in_household,mean_total_calls_veh,mean_tow_miles,consumer_score,credit_ranges_800_,credit_ranges_below_700,education_high_school,education_some_college,generation_baby_boomers__1948___1968_,generation_generation_x__1969___1980_,generation_millenials__1981___1993_,income_under_39999,no_members_4___member,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,kcl_b_ind_mosaicsgrouping_power_elite,kcl_b_ind_mosaicsgrouping_singles_and_starters,aaa_auto_insurance_0,aaa_id_theft_0,aaa_travel_0,occupation_group_management,occupation_group_professional,occupation_group_retired,mosaic_global_household_bourgeois_prosperity,mosaic_global_household_career_and_family,mosaic_global_household_comfortable_retirement,mosaic_global_household_hard_working_blue_collar,mosaic_global_household_low_income_elders,mosaic_global_household_routine_service_workers,aaa_credit_card,membership_id,yes_credit_card
35.5,7.5,2,2.6025,4.5,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1180,1.0
43.861538,4.6154,3,0.1645,2.6538459999999997,0.01488015784150378,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1216,0.14
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1243,0.07
0.0,0.0,4,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1245,0.08
29.714285999999998,15.0,1,2.9578,6.571428999999999,0.015384615384615385,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1247,1.0
0.0,7.5,2,0.1645,0.0,0.01488015784150378,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1249,0.32
11.166667,2.6667,3,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1269,0.27
0.0,0.5,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1282,0.33
29.425,7.5,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1307,0.07
0.0,13.0,4,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1329,0.05
0.0,15.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1354,0.49833333333333335
54.95,10.0,3,2.5485,0.333333,0.0136986301369863,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1363,0.1
0.0,0.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1382,0.07
55.925,0.0,1,2.9785,0.0,0.013157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1397,1.0
22.6,4.2,4,2.8373,6.0,0.01488015784150378,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1405,0.29
53.0,15.0,1,3.6932,0.0,0.01488015784150378,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1497,0.02
31.357143,8.5714,4,2.4416,0.3,0.0136986301369863,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1527,0.08
15.0,15.0,2,2.7486,0.0,0.017857142857142856,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1535,0.04
15.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1549,0.18
13.25,7.0,4,0.1645,0.0,0.01488015784150378,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1589,0.17
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1628,0.05
43.363636,2.3636,3,2.8848,0.545455,0.01488015784150378,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1634,0.09
39.428571000000005,2.1429,2,2.9578,2.142857,0.015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1644,0.21
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1696,0.07
0.0,15.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1708,1.0
31.916666999999997,13.0,4,2.5107,0.0,0.014285714285714285,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1763,0.09
26.5,0.0,2,2.9578,0.0,0.015384615384615385,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1777,0.07
0.0,15.0,1,0.1645,0.0,0.01488015784150378,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1807,0.07
0.0,15.0,2,0.1645,0.0,0.01488015784150378,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1847,0.22
0.0,0.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1878,0.11
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1906,1.0
35.333333,15.0,2,2.6063,0.0,0.0136986301369863,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1923,0.03
0.0,13.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1933,0.235
44.166667,2.5,2,3.1202,0.0,0.015873015873015872,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1967,0.02
70.95,15.0,1,2.5485,10.333333,0.0136986301369863,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1968,0.12
17.666667,5.0,3,0.1645,0.0,0.01488015784150378,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2007,1.0
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2020,0.07
28.666666999999997,6.6667,3,2.8188,3.333333,0.02,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2021,0.13
35.1,12.0,2,2.5485,0.08,0.0136986301369863,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2029,0.11
0.0,0.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2030,0.42
24.121429,2.7143,5,0.1645,4.057143,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2061,0.4
16.0,0.0,2,0.1645,1.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2091,0.13
11.833333,0.0,3,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2114,0.21
35.978571,5.7143,4,2.5485,3.428571,0.0136986301369863,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2131,0.06
30.25,0.0,1,2.4416,0.1,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2134,0.11
19.658,12.2,2,2.5485,0.0,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2146,0.36
36.272727,0.8182,3,2.5107,0.818182,0.014285714285714285,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2155,1.0
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2171,0.09833333333333333
13.428571,2.8571,5,2.9578,2.871429,0.015384615384615385,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,2193,1.0
19.616667,0.3333,3,0.1645,0.0,0.01488015784150378,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2222,0.36
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2225,0.13
39.833333,5.0,2,2.5107,0.0,0.014285714285714285,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,2255,0.08
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2259,0.05
0.0,0.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2269,1.0
41.5,2.0,2,2.5485,0.0,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2270,0.2
43.0,0.0,1,3.522,4.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2272,0.6
0.0,13.0,1,0.1645,0.0,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2286,0.26
0.0,0.0,1,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2301,0.07
13.5,7.5,2,3.7444,0.0,0.014285714285714285,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2313,0.14
31.5,9.0,1,2.4416,4.766667,0.0136986301369863,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2330,0.21
34.0,6.4286,4,2.4058,5.014286,0.012987012987012988,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2351,0.05
36.0,15.0,2,2.5485,8.25,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2366,0.17
19.6,10.4,4,2.5107,0.0,0.014285714285714285,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2395,0.12
0.0,15.0,3,0.1645,0.0,0.01488015784150378,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2413,0.08
30.5,13.0,1,2.5485,3.0,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2423,0.09
53.0,14.0,1,2.4416,0.0,0.0136986301369863,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,2452,0.28
17.666667,4.6667,3,2.4416,0.0,0.0136986301369863,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,2455,0.09
22.375,11.25,2,2.9578,2.6,0.015384615384615385,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2459,0.15
36.65,8.7778,3,2.6025,4.455556,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2464,0.09
25.305556,13.3333,3,2.8409,0.0,0.013157894736842105,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2485,0.06
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2519,0.05
58.85,13.0,1,3.1964,0.0,0.015625,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,2550,0.13
0.0,6.5,2,0.1645,0.0,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2553,0.42
26.5,7.5,2,2.4416,0.0,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2573,1.0
0.0,0.0,2,0.1645,0.0,0.01488015784150378,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2590,0.05
29.425,15.0,3,2.8049,1.5,0.014925373134328358,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,2599,1.0
51.34,5.0,1,2.8938,0.0,0.01639344262295082,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,2607,1.0
35.4625,10.25,3,2.5107,0.0,0.014285714285714285,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,2666,0.11
53.0,14.0,1,2.5485,7.5,0.0136986301369863,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2667,1.0
