total_calls,mean_basic_cost,generation_baby_boomers__1948___1968_,no_members_2___member,no_members_3___member,kcl_b_ind_mosaicsgrouping_boomers,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,aaa_auto_insurance_0,occupation_group_management,occupation_group_retired,mosaic_global_household_routine_service_workers,aaa_motorcycle_indicator_1_0,aaa_home_equity,membership_id,yes_home_equity
0.0,35.333333,0,1,0,0,0,0,0,0,0,0,0,2831,0.0
3.0,31.5,0,0,0,0,1,1,0,0,0,1,0,2836,0.0
1.0,26.5,0,1,0,1,0,1,0,0,0,1,0,2850,0.0
0.0,17.666667,0,1,0,0,0,1,0,0,0,1,0,2853,0.0
0.0,49.666667,0,0,0,0,0,1,0,0,0,1,0,2872,0.0
1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2907,0.0
31.0,53.0,0,1,0,0,0,0,0,0,0,0,0,2929,0.0
0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,2932,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,2939,0.0
0.0,0.0,1,1,0,1,0,1,0,0,0,0,0,2946,0.0
2.0,27.333333000000003,1,1,0,1,0,1,1,0,0,0,0,2991,0.01
46.0,33.863636,0,0,1,0,0,0,0,0,0,1,0,3013,0.0
3.0,41.2125,1,0,1,1,0,0,0,0,1,1,0,3025,0.0
0.0,13.25,0,0,0,0,0,0,0,0,0,0,0,3041,0.0
0.0,0.0,0,1,0,1,0,1,0,0,0,0,0,3050,0.0
0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,3058,0.0
4.0,21.333333,0,1,0,0,1,0,0,0,0,0,0,3062,0.0
27.0,43.427778,1,0,0,0,1,0,0,0,0,1,0,3066,0.0
12.0,41.783333,1,0,0,0,0,0,1,0,0,0,0,3067,0.0
0.0,15.0,0,1,0,1,0,0,0,1,0,0,0,3072,0.0
0.0,30.0,0,0,0,0,0,0,0,0,0,1,0,3085,0.0
1.0,21.5,0,1,0,0,1,1,0,0,1,0,0,3094,0.03
5.0,20.785714000000002,0,0,1,0,0,1,1,0,0,0,0,3095,0.0
0.0,17.666667,1,0,1,0,0,1,0,1,0,0,0,3111,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,3124,0.0
149.0,41.42125,0,0,0,1,0,0,0,0,0,1,0,3128,0.0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,3138,0.0
3.0,35.333333,1,0,1,0,0,1,0,0,0,1,0,3141,0.0
2.0,26.5,1,0,1,0,0,1,0,0,0,1,0,3161,0.0
6.0,29.407142999999998,1,0,0,0,0,1,0,0,0,0,0,3177,0.0
103.0,38.473684000000006,0,0,0,0,0,0,0,0,0,1,0,3182,0.0
4.0,11.416667,0,0,0,1,0,1,0,0,1,0,0,3192,0.0
0.0,37.25,0,1,0,0,0,1,0,0,0,0,0,3237,0.0
2.0,45.428571000000005,0,0,0,1,0,1,0,0,0,1,0,3244,0.0
0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,3289,0.0
1.0,0.0,0,0,0,0,0,1,0,0,1,0,0,3294,0.01
1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,3297,0.03
0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,3357,0.0
0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,3372,0.0
26.0,48.505,0,1,0,0,0,0,0,1,0,1,0,3387,0.0
0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,3391,0.0
6.0,55.925,1,1,0,1,0,1,0,1,0,0,0,3394,0.0
0.0,0.0,0,1,0,1,0,1,0,0,0,0,0,3412,0.0
0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,3418,0.0
0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,3423,0.0
3.0,17.666667,0,0,1,0,0,0,1,0,0,0,0,3456,0.0
2.0,39.75,0,0,0,0,0,1,0,0,0,1,0,3470,0.0
2.0,26.5,1,1,0,1,0,1,0,0,1,0,0,3487,0.0
24.0,53.0,0,0,0,0,1,1,0,0,0,0,0,3489,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3504,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3515,0.0
0.0,37.0,1,1,0,1,0,1,0,0,1,0,0,3520,0.01
2.0,25.954545,1,0,1,0,0,0,1,0,0,1,0,3536,0.0
5.0,32.658889,0,0,0,1,0,0,1,0,0,1,0,3557,0.0
80.0,27.890625,0,0,0,0,0,1,0,0,1,1,0,3562,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,3569,0.0
12.0,30.5,0,0,0,0,0,0,0,0,0,1,0,3579,0.0
5.0,21.25,0,0,1,0,0,1,0,0,0,0,0,3586,0.0
5.0,0.0,0,0,0,0,0,1,0,0,0,0,0,3599,0.02
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,3682,0.0
0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,3696,0.0
6.0,16.0,0,0,1,0,0,0,1,0,0,0,0,3716,0.0
0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,3734,0.0
0.0,22.8,0,1,0,0,0,1,0,0,0,0,0,3737,0.0
15.0,34.75,0,1,0,0,1,0,0,0,1,0,0,3762,0.01
0.0,26.5,1,1,0,1,0,1,0,0,0,0,0,3768,0.0
0.0,0.0,0,1,0,1,0,1,0,0,0,0,0,3774,0.0
3.0,53.0,0,0,0,0,0,1,0,1,1,1,0,3780,0.0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,3789,0.0
0.0,21.5,0,1,0,0,0,1,0,0,0,1,0,3792,0.0
3.0,7.5,0,0,0,0,1,0,0,0,0,0,0,3812,0.0
2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,3839,0.01
0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,3847,0.0
0.0,26.5,0,0,1,0,0,1,0,1,0,1,0,3855,0.0
1.0,38.0,0,0,1,0,0,1,1,0,1,0,0,3860,0.0
21.0,23.733333,1,0,0,1,0,1,0,1,1,1,0,3883,0.0
2.0,27.0,0,1,0,0,0,1,0,1,0,0,0,3884,0.0
0.0,26.5,0,1,0,0,0,1,0,0,0,1,0,3913,0.0
2.0,37.283333,0,1,0,0,0,1,1,0,0,1,0,3921,0.02
2.0,26.5,1,1,0,0,0,0,0,0,0,1,0,3934,0.0
0.0,35.333333,0,1,0,0,0,1,0,0,0,0,0,3955,0.0
3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,3956,0.01
37.0,44.196154,0,0,0,1,0,0,0,0,0,1,0,3959,0.0
4.0,43.57,0,0,1,1,0,1,0,0,1,1,0,4011,0.0
1.0,15.0,1,1,0,1,0,1,0,0,1,0,0,4036,0.0
6.0,36.308333000000005,0,0,1,0,1,1,0,0,1,1,0,4055,0.01
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,4056,0.0
0.0,47.7,1,0,0,0,0,1,1,0,1,1,0,4063,0.05
0.0,14.5,0,1,0,0,0,1,0,0,0,0,0,4070,0.0
2.0,53.0,0,0,0,0,0,1,0,0,0,0,0,4075,0.0
17.0,22.986,0,0,1,0,0,1,0,0,0,1,0,4095,0.0
2.0,30.166666999999997,0,1,0,0,1,1,0,1,0,0,0,4099,0.0
1.0,35.333333,1,0,1,1,0,1,0,1,0,0,0,4123,0.0
15.0,54.95,0,0,0,1,0,1,0,0,0,1,0,4127,0.0
0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,4158,0.0
0.0,33.25,0,1,0,0,0,1,0,0,0,0,0,4208,0.0
0.0,53.0,0,0,0,1,0,1,0,0,0,0,0,4209,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,4224,0.0
0.0,17.666667,1,1,0,0,1,1,1,0,1,0,0,4228,0.33
22.0,37.038889000000005,0,0,0,1,0,1,1,0,1,1,0,4230,0.0
2.0,35.333333,1,1,0,0,0,1,0,0,0,0,0,4263,0.0
1.0,30.0,1,1,0,0,0,1,0,0,0,0,0,4264,0.0
0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,4269,0.0
12.0,42.0875,1,1,0,1,0,1,0,0,1,1,0,4296,0.0
7.0,25.861110999999998,0,0,0,0,0,1,0,0,0,0,0,4300,0.0
0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,4307,0.0
0.0,20.0,0,1,0,0,0,0,0,0,0,0,0,4311,0.0
24.0,40.59,0,0,0,0,0,0,0,0,0,1,0,4322,0.0
0.0,30.5,0,0,0,1,0,1,0,1,1,0,0,4339,0.0
0.0,15.0,0,1,0,0,0,1,0,0,0,0,0,4350,0.0
0.0,39.75,1,1,0,0,0,0,0,0,0,0,0,4366,0.0
0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,4367,0.0
0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,4386,0.0
1.0,29.616667,1,0,1,0,0,0,1,0,0,0,0,4433,0.0
9.0,53.0,0,0,0,1,0,1,0,0,0,0,0,4452,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,4456,0.0
30.0,26.5,1,1,0,0,0,1,0,0,0,0,0,4466,0.0
0.0,28.0,0,0,0,0,0,1,0,1,0,0,0,4482,0.0
0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,4489,0.0
0.0,16.5,0,1,0,1,0,0,1,0,0,0,0,4494,0.01
9.0,43.5,0,1,0,0,0,1,0,0,0,0,0,4504,0.0
12.0,23.8,0,1,0,0,0,0,0,0,0,1,0,4507,0.0
12.0,41.655,1,0,0,0,0,0,0,1,0,1,0,4534,0.0
3.0,36.308333000000005,1,0,0,1,0,0,0,0,1,1,0,4538,0.0
0.0,22.8375,1,0,1,1,0,1,0,0,1,1,0,4539,0.01
0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4565,0.0
7.0,46.0,1,0,0,0,0,0,0,0,1,1,0,4617,0.0
1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,4625,0.02
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,4631,0.0
6.0,21.2,0,0,1,0,0,1,0,0,0,1,0,4653,0.0
7.0,38.6,0,0,1,0,0,1,0,0,0,1,0,4662,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,4673,0.0
0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,4679,0.0
0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,4682,0.0
21.0,34.533333,0,0,1,1,0,0,0,1,1,1,0,4686,0.0
0.0,31.8,0,0,1,0,0,1,0,1,0,1,0,4706,0.0
3.0,26.5,0,1,0,1,0,1,0,0,1,0,0,4711,0.0
2.0,14.0,0,1,0,0,0,1,0,1,0,0,0,4735,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,4751,0.0
1.0,17.0,0,1,0,0,0,0,0,0,0,0,0,4758,0.0
10.0,42.522222,0,0,0,0,0,1,0,0,0,1,0,4767,0.0
0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,4770,0.0
16.0,28.779166999999998,0,0,0,0,0,1,0,0,0,1,0,4792,0.0
0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,4796,0.0
2.0,26.5,0,1,0,0,0,1,0,1,0,1,0,4797,0.0
0.0,39.75,1,0,1,0,0,1,0,0,0,1,0,4805,0.0
6.0,53.0,1,0,0,0,0,1,0,0,1,0,0,4811,0.0
6.0,55.925,0,1,0,0,0,1,0,0,0,1,0,4816,0.0
0.0,53.0,0,0,0,1,0,1,0,0,0,1,0,4852,0.0
2.0,6.0,0,0,0,1,0,1,0,0,0,0,0,4860,0.0
15.0,48.286,0,0,0,0,0,1,0,0,0,1,0,4871,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4899,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,4910,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,4920,0.0
25.0,29.1,0,0,0,0,0,1,0,1,0,0,0,4921,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,4937,0.0
2.0,10.666667,0,0,1,0,0,1,0,0,0,0,0,4949,0.0
0.0,16.2,0,0,0,1,0,1,0,0,1,0,0,4961,0.0
8.0,32.97,0,1,0,0,0,0,0,1,0,1,0,4984,0.0
0.0,0.0,1,0,1,0,0,0,0,1,1,0,0,4986,0.0
0.0,0.0,0,1,0,1,0,1,0,0,1,0,0,4995,0.0
0.0,26.5,0,1,0,0,0,0,0,0,0,0,0,5023,0.0
73.0,30.727272999999997,1,0,0,0,0,0,0,0,0,0,0,5031,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,5032,0.0
0.0,0.0,0,0,1,1,0,1,0,1,0,0,0,5141,0.0
0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,5154,0.0
0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,5177,0.0
6.0,56.9,0,0,0,0,0,0,1,0,0,1,0,5178,0.0
12.0,37.857143,1,1,0,0,0,0,0,0,0,1,0,5182,0.0
0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,5183,0.0
0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,5204,0.0
0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,5205,0.0
0.0,53.0,0,0,0,0,1,0,0,1,0,1,0,5249,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,5282,0.0
3.0,30.0,0,0,0,1,0,1,0,0,1,0,0,5311,0.0
29.0,40.809523999999996,0,0,0,0,0,1,1,0,0,1,0,5323,0.0
9.0,38.692857000000004,1,0,0,0,0,0,0,1,0,1,0,5342,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,5355,0.0
0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,5361,0.0
0.0,0.0,0,1,0,1,0,1,1,0,0,0,0,5396,0.0
7.0,47.73125,1,0,0,0,0,0,0,0,0,1,0,5400,0.0
1.0,26.5,0,1,0,0,0,1,0,0,0,0,0,5402,0.0
0.0,0.0,1,0,0,1,0,0,0,1,1,0,0,5406,0.0
0.0,33.5,0,0,1,1,0,0,0,0,1,0,0,5407,0.0
2.0,18.0,0,1,0,0,0,0,0,1,0,0,0,5412,0.0
2.0,37.283333,0,1,0,0,0,0,0,1,0,1,0,5434,0.0
0.0,26.5,0,0,0,1,0,0,1,0,0,1,0,5456,0.0
0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,5458,0.0
0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,5473,0.0
0.0,35.333333,0,1,0,1,0,1,0,0,0,1,0,5493,0.0
2.0,35.333333,0,1,0,0,0,1,0,1,0,1,0,5494,0.0
4.0,54.17,1,1,0,0,0,0,0,0,0,1,0,5508,0.0
2.0,5.0,0,0,0,0,0,0,0,0,1,1,0,5513,0.0
0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,5520,0.0
6.0,39.75,0,0,1,0,0,0,0,0,0,0,0,5577,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,5602,0.0
0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,5603,0.0
18.0,38.545455,0,0,1,1,0,1,0,0,0,0,0,5607,0.0
