FCST Error Test,FCST Error Train,FCST Total Cost Test,FCST Total Cost Train,total_cost,estimated_cost,membership_id
0.0,0.0,0.0,0.013377428,0.0,0.013377428,86902
0.0,0.0,0.0,78.015526,53.00000000000003,78.015526,229267
0.0,0.0,0.0,0.013377428,0.0,0.013377428,253367
0.0,0.0,0.0,0.08459067,0.0,0.08459067,194737
0.0,0.0,0.0,388.687,462.34999999999997,388.687,254296
0.0,0.0,0.0,0.02414751,0.0,0.02414751,197305
0.0,0.0,0.0,611.0924,659.3999999999999,611.0924,197294
0.0,0.0,0.0,0.63839626,0.0,0.63839626,6875
0.0,0.0,0.0,443.3719,382.70000000000016,443.3719,16903
0.0,0.0,0.0,0.013377428,0.0,0.013377428,29505
0.0,0.0,0.0,0.013377428,0.0,0.013377428,7191
0.0,0.0,0.0,0.013377428,0.0,0.013377428,191626
0.0,0.0,0.0,167.88593,159.0,167.88593,7524
0.0,0.0,0.0,81.27349,28.999999999999996,81.27349,84898
0.0,0.0,0.0,345.3038,317.99999999999994,345.3038,85735
0.0,0.0,0.0,217.41568,240.84999999999997,217.41568,1968
0.0,0.0,0.0,475.6817,382.70000000000016,475.6817,192067
0.0,0.0,0.0,58.520454,58.849999999999994,58.520454,24080
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,84481
0.0,0.0,0.0,147.21516,179.00000000000006,147.21516,83441
0.0,0.0,0.0,203.2557,344.49999999999994,203.2557,5849
0.0,0.0,0.0,0.02414751,0.0,0.02414751,12813
0.0,0.0,0.0,296.4777,410.99999999999994,296.4777,196765
0.0,0.0,0.0,200.56982,159.0,200.56982,54835
0.0,0.0,0.0,0.013377428,0.0,0.013377428,198616
0.0,0.0,0.0,180.06033,151.5,180.06033,191586
0.0,0.0,0.0,124.23419,126.50000000000001,124.23419,28805
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,22571
0.0,0.0,0.0,132.9983,164.85,132.9983,59076
0.0,0.0,0.0,34.29112,32.49999999999999,34.29112,9572
0.0,0.0,0.0,339.8563,308.70000000000005,339.8563,52752
0.0,0.0,0.0,366.2212,447.5,366.2212,151766
0.0,0.0,0.0,86.37309,53.00000000000003,86.37309,88278
0.0,0.0,0.0,118.30661,91.00000000000001,118.30661,85523
0.0,0.0,0.0,36.135456,26.999999999999993,36.135456,196066
0.0,0.0,0.0,111.81946,163.99999999999997,111.81946,19466
0.0,0.0,0.0,308.47385,378.82,308.47385,2762
0.0,0.0,0.0,105.25882,53.00000000000003,105.25882,83327
0.0,0.0,0.0,70.574165,53.00000000000003,70.574165,23431
0.0,0.0,0.0,57.011692,53.00000000000003,57.011692,24780
0.0,0.0,0.0,107.11631,98.0,107.11631,370133
0.0,0.0,0.0,1137.0007,1318.5500000000006,1137.0007,13493
0.0,0.0,0.0,256.51093,265.00000000000006,256.51093,17074
0.0,0.0,0.0,0.013377428,0.0,0.013377428,4682
0.0,0.0,0.0,263.06354,197.85000000000005,263.06354,196541
0.0,0.0,0.0,58.583767,58.849999999999994,58.583767,371789
0.0,0.0,0.0,43.244495,89.99999999999999,43.244495,25328
0.0,0.0,0.0,78.02711,53.00000000000003,78.02711,89774
0.0,0.0,0.0,42.604965,61.499999999999986,42.604965,194160
0.0,0.0,0.0,98.96968,106.0,98.96968,508579
0.0,0.0,0.0,0.013377428,0.0,0.013377428,90157
0.0,0.0,0.0,360.74744,451.0,360.74744,16218
0.0,0.0,0.0,28.397137,29.43000000000002,28.397137,543653
0.0,0.0,0.0,115.849236,106.0,115.849236,3955
0.0,0.0,0.0,86.965454,33.99999999999999,86.965454,198842
